e498fd14-1b56-11ee-a034-b1971887673a; 1688577051.143398; buscar por categorias; ini; 1688577052; compu; 1688577052
00fecc36-1b57-11ee-a034-b1971887673a; 1688577098.7896428; buscar por categorias; fin; 1688577104; compu; 1688577104
016bde02-1b57-11ee-a034-b1971887673a; 1688577099.5015924; buscar por categorias; ini; 1688577104; compu; 1688577104
ff85bd74-1b56-11ee-a034-b1971887673a; 1688577096.3157072; buscar por categorias; ini; 1688577105; hogar; 1688577105
016bde02-1b57-11ee-a034-b1971887673a; 1688577099.5148506; buscar por categorias; fin; 1688577105; compu; 1688577105
ff85bd74-1b56-11ee-a034-b1971887673a; 1688577096.3189027; buscar por categorias; fin; 1688577105; hogar; 1688577105
049fefa0-1b57-11ee-a034-b1971887673a; 1688577104.8759997; buscar por categorias; ini; 1688577105; compu; 1688577105
00fbd35a-1b57-11ee-a034-b1971887673a; 1688577098.7673376; buscar por categorias; ini; 1688577106; hogar; 1688577106
049fefa0-1b57-11ee-a034-b1971887673a; 1688577104.878848; buscar por categorias; fin; 1688577106; compu; 1688577106
00fbd35a-1b57-11ee-a034-b1971887673a; 1688577098.770484; buscar por categorias; fin; 1688577106; hogar; 1688577106
01683658-1b57-11ee-a034-b1971887673a; 1688577099.4776385; buscar por categorias; ini; 1688577107; hogar; 1688577107
01683658-1b57-11ee-a034-b1971887673a; 1688577099.4814208; buscar por categorias; fin; 1688577107; hogar; 1688577107
0303c2ca-1b57-11ee-a034-b1971887673a; 1688577102.1747723; buscar por categorias; ini; 1688577108; hogar; 1688577108
0303c2ca-1b57-11ee-a034-b1971887673a; 1688577102.191099; buscar por categorias; fin; 1688577108; hogar; 1688577108
06bf2d0a-1b57-11ee-a034-b1971887673a; 1688577108.4362066; buscar por categorias; ini; 1688577114; ropa; 1688577114
06bf2d0a-1b57-11ee-a034-b1971887673a; 1688577108.4391167; buscar por categorias; fin; 1688577115; ropa; 1688577115
